adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,decade
False,/2Cpg8hUn60PK9CW9d5SWf605Ah8.jpg,"[16, 35, 28, 878]",614930,en,Teenage Mutant Ninja Turtles: Mutant Mayhem,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",6.3474,/kbnhvFPyXKCKLNhg1pkz6rXQ4Le.jpg,2023-07-31,Teenage Mutant Ninja Turtles: Mutant Mayhem,False,7.213,1497,2020s
False,/fwrqW8Lp5VQuppFrODd4iJ8LySE.jpg,"[28, 12]",335787,en,Uncharted,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",6.2735,/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg,2022-02-10,Uncharted,False,6.885,6508,2020s
False,/sBOenwOZGRN5nZZGw4TxwtnfrEf.jpg,"[28, 35, 14]",899112,en,Violent Night,"When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds, and he’s about to show why this Nick is no saint.",6.0854,/e8CpMgdyihz9Td7amQDqubPuzfN.jpg,2022-11-30,Violent Night,False,7.241,2395,2020s
False,/AdBXP8e6K3FYdDrMx3Wr6WZqCYF.jpg,"[12, 14, 35]",493529,en,Dungeons & Dragons: Honor Among Thieves,"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",6.0177,/v7UF7ypAqjsFZFdjksjQ7IUpXdn.jpg,2023-03-23,Dungeons & Dragons: Honor Among Thieves,False,7.335,4252,2020s
False,/uKL39lSf3rQbcMG8XbByoHBwGId.jpg,[18],759054,en,Rise,"After emigrating to Greece from Nigeria, Vera and Charles Antetokounmpo struggled to survive and provide for their five children, while living under the daily threat of deportation. Desperate to obtain Greek citizenship but undermined by a system that blocked them at every turn, the family's vision, determination and faith lifted them out of obscurity to launch the careers of three NBA champions.",5.9269,/slkVQhehnP3h40y7mfbYDfv8sWB.jpg,2022-06-23,Rise,False,7.57,294,2020s
False,/5HjzYTihkH7EvOWSE7KcsF6pBMM.jpg,"[10751, 35, 12, 16]",522478,en,Peter Rabbit 2: The Runaway,"Peter Rabbit runs away from his human family when he learns they are going to portray him in a bad light in their book. Soon, he crosses paths with an older rabbit who ropes him into a heist.",5.9159,/cycDz68DtTjJrDJ1fV8EBq2Xdpb.jpg,2021-03-25,Peter Rabbit 2: The Runaway,False,7.1,860,2020s
False,/fMRrTziefy0c6v45IUyByGjZCRo.jpg,[18],970284,en,Shooting Stars,"The inspiring origin story of a basketball superhero, revealing how LeBron James and his childhood friends become the #1 high school team in the country, launching James's breathtaking career as a four-time NBA Champion, two-time Olympic Gold Medalist and the NBA's all-time leading scorer.",5.8875,/zLQHNW0XVT7IWjUahBlpVSba3sC.jpg,2023-06-02,Shooting Stars,False,7.721,154,2020s
False,/ciKBP3tgzUxp7sHFNZxofBXUS8k.jpg,"[28, 27, 53]",602223,en,The Forever Purge,All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end as they chase a group of immigrants who they want to punish because of their harsh historical past.,5.8452,/lB068qa6bQ0QKYKyC2xnYGvYjl7.jpg,2021-06-30,The Forever Purge,False,6.9,2606,2020s
False,/wu1uilmhM4TdluKi2ytfz8gidHf.jpg,"[10751, 35, 12, 16]",400160,en,The SpongeBob Movie: Sponge on the Run,"When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal.",5.7339,/jlJ8nDhMhCYJuzOw3f52CP1W8MW.jpg,2020-08-14,The SpongeBob Movie: Sponge on the Run,False,7.425,2923,2020s
False,/hX3kteYoGqvoPpSlqg6nryFL6xR.jpg,"[35, 18, 10749, 10751]",382748,en,Stargirl,"An unassuming high schooler finds himself inexplicably drawn to the free-spirited new girl, whose unconventional ways change how they see themselves…and their world.",5.7317,/gwsrtzSrr7G6xjxsa7IwaAMHpEF.jpg,2020-03-10,Stargirl,False,7.398,566,2020s
